delta,lambda,false_acceptance_upper_bound,detection_lower_bound,target_error,required_lambda,assumption
0.01,8,0.9606930435754368,0.039306956424563166,1e-06,2757,"F(rho_hon,rho_adv)<=1-delta"
0.01,16,0.9229311239742362,0.07706887602576384,1e-06,2757,"F(rho_hon,rho_adv)<=1-delta"
0.01,32,0.8518018596003469,0.14819814039965307,1e-06,2757,"F(rho_hon,rho_adv)<=1-delta"
0.01,64,0.7255664080186092,0.27443359198139083,1e-06,2757,"F(rho_hon,rho_adv)<=1-delta"
0.01,128,0.5264466124450268,0.4735533875549732,1e-06,2757,"F(rho_hon,rho_adv)<=1-delta"
0.01,2757,9.959410105097505e-07,0.9999990040589894,1e-06,2757,"F(rho_hon,rho_adv)<=1-delta"
0.05,8,0.8166518036622619,0.18334819633773813,1e-06,546,"F(rho_hon,rho_adv)<=1-delta"
0.05,16,0.6669201684248254,0.3330798315751746,1e-06,546,"F(rho_hon,rho_adv)<=1-delta"
0.05,32,0.4447825110517975,0.5552174889482024,1e-06,546,"F(rho_hon,rho_adv)<=1-delta"
0.05,64,0.19783148213754237,0.8021685178624576,1e-06,546,"F(rho_hon,rho_adv)<=1-delta"
0.05,128,0.03913729532473675,0.9608627046752632,1e-06,546,"F(rho_hon,rho_adv)<=1-delta"
0.05,546,9.920194138673063e-07,0.9999990079805862,1e-06,546,"F(rho_hon,rho_adv)<=1-delta"
0.1,8,0.6634204312890623,0.33657956871093775,1e-06,270,"F(rho_hon,rho_adv)<=1-delta"
0.1,16,0.44012666865176536,0.5598733313482347,1e-06,270,"F(rho_hon,rho_adv)<=1-delta"
0.1,32,0.19371148445850087,0.8062885155414992,1e-06,270,"F(rho_hon,rho_adv)<=1-delta"
0.1,64,0.03752413921111602,0.962475860788884,1e-06,270,"F(rho_hon,rho_adv)<=1-delta"
0.1,128,0.001408061023535215,0.9985919389764648,1e-06,270,"F(rho_hon,rho_adv)<=1-delta"
0.1,270,9.668818947912806e-07,0.9999990331181052,1e-06,270,"F(rho_hon,rho_adv)<=1-delta"
0.25,8,0.34360891580581665,0.6563910841941833,1e-06,104,"F(rho_hon,rho_adv)<=1-delta"
0.25,16,0.1180670870212488,0.8819329129787512,1e-06,104,"F(rho_hon,rho_adv)<=1-delta"
0.25,32,0.013939837037683136,0.9860601629623169,1e-06,104,"F(rho_hon,rho_adv)<=1-delta"
0.25,64,0.00019431905663716255,0.9998056809433629,1e-06,104,"F(rho_hon,rho_adv)<=1-delta"
0.25,128,3.775989577235679e-08,0.9999999622401042,1e-06,104,"F(rho_hon,rho_adv)<=1-delta"
0.25,104,9.307595786239261e-07,0.9999990692404214,1e-06,104,"F(rho_hon,rho_adv)<=1-delta"
0.5,8,0.1001129150390625,0.8998870849609375,1e-06,49,"F(rho_hon,rho_adv)<=1-delta"
0.5,16,0.010022595757618546,0.9899774042423815,1e-06,49,"F(rho_hon,rho_adv)<=1-delta"
0.5,32,0.00010045242572063329,0.9998995475742793,1e-06,49,"F(rho_hon,rho_adv)<=1-delta"
0.5,64,1.0090689833159348e-08,0.9999999899093102,1e-06,49,"F(rho_hon,rho_adv)<=1-delta"
0.5,128,1.0182202130902542e-16,0.9999999999999999,1e-06,49,"F(rho_hon,rho_adv)<=1-delta"
0.5,49,7.550955419025835e-07,0.9999992449044581,1e-06,49,"F(rho_hon,rho_adv)<=1-delta"
1.0,8,0.00390625,0.99609375,1e-06,20,"F(rho_hon,rho_adv)<=1-delta"
1.0,16,1.52587890625e-05,0.9999847412109375,1e-06,20,"F(rho_hon,rho_adv)<=1-delta"
1.0,32,2.3283064365386963e-10,0.9999999997671694,1e-06,20,"F(rho_hon,rho_adv)<=1-delta"
1.0,64,5.421010862427522e-20,1.0,1e-06,20,"F(rho_hon,rho_adv)<=1-delta"
1.0,128,2.938735877055719e-39,1.0,1e-06,20,"F(rho_hon,rho_adv)<=1-delta"
1.0,20,9.5367431640625e-07,0.9999990463256836,1e-06,20,"F(rho_hon,rho_adv)<=1-delta"
