attack,attack_scope,noise_parameter,lambda,trial,stage,records_ok,ideal_fidelity,effective_fidelity,accept_probability,sampled_accept,stage_accept,sampling_model
none,targeted,0.0,8,0,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,0,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,1,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,1,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,2,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,2,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,3,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,3,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,4,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,4,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,5,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,5,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,6,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,6,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,7,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,7,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,8,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,8,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,9,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,9,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,10,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,10,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,11,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
