n,lambda,static_bell_qubits,dynamic_message_qubits,peak_protocol_qubits,classical_key_bits,trent_swap_cswaps,bob_swap_cswaps,total_swap_cswaps,base_protocol_operations,total_operation_model,state_pairs_per_verification,number_of_verifications,total_comparison_state_pairs,scope
1,8,6,3,9,40,8,8,16,7,23,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
2,8,12,6,18,80,16,16,32,14,46,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
3,8,18,9,27,120,24,24,48,21,69,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
4,8,24,12,36,160,32,32,64,28,92,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
5,8,30,15,45,200,40,40,80,35,115,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
6,8,36,18,54,240,48,48,96,42,138,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
7,8,42,21,63,280,56,56,112,49,161,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
8,8,48,24,72,320,64,64,128,56,184,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
9,8,54,27,81,360,72,72,144,63,207,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
10,8,60,30,90,400,80,80,160,70,230,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
11,8,66,33,99,440,88,88,176,77,253,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
12,8,72,36,108,480,96,96,192,84,276,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
13,8,78,39,117,520,104,104,208,91,299,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
14,8,84,42,126,560,112,112,224,98,322,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
15,8,90,45,135,600,120,120,240,105,345,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
16,8,96,48,144,640,128,128,256,112,368,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
17,8,102,51,153,680,136,136,272,119,391,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
18,8,108,54,162,720,144,144,288,126,414,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
19,8,114,57,171,760,152,152,304,133,437,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
20,8,120,60,180,800,160,160,320,140,460,8,2,16,"analytical independent-copy model; 7n is normalized base work, not an exact gate count"
