record_type,execution,case,m,DIRECT_HARDWARE,DERIVED_FROM_SINGLE_TEST,backend,job_id,shots,recomputed_accept_probability,recomputed_detection_probability,recomputed_wilson_95_low,recomputed_wilson_95_high,stored_probability,absolute_difference,composition_assumption
composed_candidate_final,Final,composed_candidate_m1,1,YES,NO,ibm_fez,d9o7tjva5u8s73e2cv9g,1024,0.7548828125,,0.7276156332914191,0.7802447916022438,0.7548828125,0.0,direct m=1 hardware counts
swap_test,Pilot,identical_0_0,1,YES,NO,ibm_fez,d9o612jvt76s73cplumg,128,0.9296875,0.0703125,0.03742976830393996,0.12823480349360628,0.0703125,0.0,direct m=1 hardware estimate
swap_test,Pilot,identical_0_0,2,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.86431884765625,0.13568115234375,0.0734585490525933,0.24002544216016874,0.13568115234375,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,identical_0_0,4,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.7470470704138279,0.2529529295861721,0.14152093967627433,0.422438671436153,0.2529529295861721,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,identical_0_0,8,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.5580793254138827,0.4419206745861173,0.26301370298569293,0.666422911747564,0.4419206745861173,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,identical_plus_plus,1,YES,NO,ibm_fez,d9o612jvt76s73cplumg,128,0.96875,0.03125,0.012218265245053428,0.07759763126136077,0.03125,0.0,direct m=1 hardware estimate
swap_test,Pilot,identical_plus_plus,2,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.9384765625,0.0615234375,0.024287244484508363,0.14917387014534744,0.0615234375,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,identical_plus_plus,4,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.8807382583618164,0.1192617416381836,0.047984618724366435,0.27609489675655385,0.1192617416381836,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,identical_plus_plus,8,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.7756998797422057,0.22430012025779433,0.09366671381461011,0.4759614014980956,0.2243001202577943,2.7755575615628914e-17,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,orthogonal_0_1,1,YES,NO,ibm_fez,d9o612jvt76s73cplumg,128,0.53125,0.46875,0.3844747677270395,0.5548462920400548,0.46875,0.0,direct m=1 hardware estimate
swap_test,Pilot,orthogonal_0_1,2,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.2822265625,0.7177734375,0.621128688435318,0.8018381762895118,0.7177734375,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,orthogonal_0_1,4,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.0796518325805664,0.9203481674194336,0.8564565292732577,0.9607318916237334,0.9203481674194336,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,orthogonal_0_1,8,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.00634441443344258,0.9936555855665574,0.9793952720117208,0.9984580156645497,0.9936555855665574,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,orthogonal_plus_minus,1,YES,NO,ibm_fez,d9o612jvt76s73cplumg,128,0.5234375,0.4765625,0.3919887260658145,0.5625020687595063,0.4765625,0.0,direct m=1 hardware estimate
swap_test,Pilot,orthogonal_plus_minus,2,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.27398681640625,0.72601318359375,0.6303222907689288,0.8085955601602882,0.72601318359375,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,orthogonal_plus_minus,4,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.07506877556443214,0.9249312244355679,0.8633383912976675,0.9633643404096461,0.924931224435568,1.1102230246251565e-16,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,orthogonal_plus_minus,8,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.005635321064743085,0.9943646789352569,0.9813236047068906,0.9986578284463797,0.9943646789352568,1.1102230246251565e-16,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,fixed_overlap_F_0.25,1,YES,NO,ibm_fez,d9o612jvt76s73cplumg,128,0.59375,0.40625,0.32510302194321716,0.49286015735806576,0.40625,0.0,direct m=1 hardware estimate
swap_test,Pilot,fixed_overlap_F_0.25,2,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.3525390625,0.6474609375,0.5445140690098225,0.7428091800051142,0.6474609375,0.0,analytical independent-identical composition from m=1 estimate
swap_test,Pilot,fixed_overlap_F_0.25,4,NO,YES,ibm_fez,d9o612jvt76s73cplumg,128,0.1242837905883789,0.8757162094116211,0.7925325666700112,0.9338528821103582,0.8757162094116211,0.0,analytical independent-identical composition from m=1 estimate
