input_state,stage,sequential_rounds,coherent_deferred_measurement_fidelity,measurement_conditioned_min_fidelity,measurement_conditioned_branch_fidelities_json,global_phase_invariance_fidelity,expected_fidelity
0,S2,1,0.9999999999999996,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
0,S4,2,0.9999999999999997,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
0,S6,3,0.9999999999999999,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
1,S2,1,0.9999999999999996,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
1,S4,2,0.9999999999999997,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
1,S6,3,0.9999999999999999,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
+,S2,1,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
+,S4,2,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
+,S6,3,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
-,S2,1,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
-,S4,2,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
-,S6,3,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
i+,S2,1,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
i+,S4,2,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
i+,S6,3,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
i-,S2,1,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
i-,S4,2,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
i-,S6,3,0.9999999999999993,1.0,"{""00"": 1.0, ""01"": 1.0, ""10"": 1.0, ""11"": 1.0}",1.0,1.0
