attack,attack_type,theta_radians,message_state,x1_operator,fidelity_F_G,m,acceptance_probability,detection_probability,uses_orthogonal_2_to_minus_m_special_case
I,identity,N/A,+,X,1.0,1,1.0,0.0,False
I,identity,N/A,+,X,1.0,2,1.0,0.0,False
I,identity,N/A,+,X,1.0,4,1.0,0.0,False
I,identity,N/A,+,X,1.0,8,1.0,0.0,False
I,identity,N/A,+,X,1.0,16,1.0,0.0,False
I,identity,N/A,+,X,1.0,32,1.0,0.0,False
I,identity,N/A,+,X,1.0,40,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,1,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,2,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,4,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,8,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,16,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,32,1.0,0.0,False
X,Pauli,N/A,+,X,1.0,40,1.0,0.0,False
Y,Pauli,N/A,+,X,1.8202353171583768e-33,1,0.5,0.5,True
Y,Pauli,N/A,+,X,1.8202353171583768e-33,2,0.25,0.75,True
Y,Pauli,N/A,+,X,1.8202353171583768e-33,4,0.0625,0.9375,True
Y,Pauli,N/A,+,X,1.8202353171583768e-33,8,0.00390625,0.99609375,True
Y,Pauli,N/A,+,X,1.8202353171583768e-33,16,1.52587890625e-05,0.9999847412109375,True
Y,Pauli,N/A,+,X,1.8202353171583768e-33,32,2.3283064365386963e-10,0.9999999997671694,True
Y,Pauli,N/A,+,X,1.8202353171583768e-33,40,9.094947017729282e-13,0.9999999999990905,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,1,0.5,0.5,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,2,0.25,0.75,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,4,0.0625,0.9375,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,8,0.00390625,0.99609375,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,16,1.52587890625e-05,0.9999847412109375,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,32,2.3283064365386963e-10,0.9999999997671694,True
Z,Pauli,N/A,+,X,1.8202353171583768e-33,40,9.094947017729282e-13,0.9999999999990905,True
Rx(0.01),near-identity rotation,0.01,+,X,1.0,1,1.0,0.0,False
Rx(0.01),near-identity rotation,0.01,+,X,1.0,2,1.0,0.0,False
Rx(0.01),near-identity rotation,0.01,+,X,1.0,4,1.0,0.0,False
Rx(0.01),near-identity rotation,0.01,+,X,1.0,8,1.0,0.0,False
Rx(0.01),near-identity rotation,0.01,+,X,1.0,16,1.0,0.0,False
Rx(0.01),near-identity rotation,0.01,+,X,1.0,32,1.0,0.0,False
Rx(0.01),near-identity rotation,0.01,+,X,1.0,40,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,1,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,2,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,4,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,8,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,16,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,32,1.0,0.0,False
Rx(0.05),near-identity rotation,0.05,+,X,1.0,40,1.0,0.0,False
Rx(0.1),near-identity rotation,0.1,+,X,1.0,1,1.0,0.0,False
Rx(0.1),near-identity rotation,0.1,+,X,1.0,2,1.0,0.0,False
Rx(0.1),near-identity rotation,0.1,+,X,1.0,4,1.0,0.0,False
Rx(0.1),near-identity rotation,0.1,+,X,1.0,8,1.0,0.0,False
Rx(0.1),near-identity rotation,0.1,+,X,1.0,16,1.0,0.0,False
