engine,experiment,fidelity,m,shots,seed,logical_qubits,instance_circuit_count,transpiled_depth,accept_count,acceptance_probability,analytical_acceptance_probability,counts_json
qiskit-aer,explicit_independent_swap_test,0.0,1,16384,20260904,3,1,4,8191,0.49993896484375,0.5,"{""0"": 8191, ""1"": 8193}"
qiskit-aer,explicit_independent_swap_test,0.0,2,16384,20260905,6,2,4,4091,0.24969482421875,0.25,"{""00"": 4091, ""01"": 4140, ""10"": 4144, ""11"": 4009}"
qiskit-aer,explicit_independent_swap_test,0.0,4,16384,20260907,12,4,4,1085,0.06622314453125,0.0625,"{""0000"": 1085, ""0001"": 997, ""0010"": 1069, ""0011"": 1004, ""0100"": 978, ""0101"": 1046, ""0110"": 991, ""0111"": 972, ""1000"": 1110, ""1001"": 1060, ""1010"": 1010, ""1011"": 1043, ""1100"": 1037, ""1101"": 1036, ""1110"": 959, ""1111"": 987}"
qiskit-aer,explicit_independent_swap_test,0.0,8,16384,20260911,24,8,4,59,0.00360107421875,0.00390625,"{""00000000"": 59, ""00000001"": 47, ""00000010"": 78, ""00000011"": 67, ""00000100"": 62, ""00000101"": 62, ""00000110"": 71, ""00000111"": 53, ""00001000"": 48, ""00001001"": 57, ""00001010"": 66, ""00001011"": 71, ""00001100"": 58, ""00001101"": 70, ""00001110"": 58, ""00001111"": 54, ""00010000"": 70, ""00010001"": 66, ""00010010"": 63, ""00010011"": 68, ""00010100"": 64, ""00010101"": 50, ""00010110"": 43, ""00010111"": 81, ""00011000"": 69, ""00011001"": 72, ""00011010"": 61, ""00011011"": 61, ""00011100"": 61, ""00011101"": 65, ""00011110"": 62, ""00011111"": 64, ""00100000"": 57, ""00100001"": 66, ""00100010"": 71, ""00100011"": 73, ""00100100"": 64, ""00100101"": 81, ""00100110"": 62, ""00100111"": 66, ""00101000"": 60, ""00101001"": 71, ""00101010"": 57, ""00101011"": 47, ""00101100"": 72, ""00101101"": 60, ""00101110"": 68, ""00101111"": 64, ""00110000"": 76, ""00110001"": 69, ""00110010"": 68, ""00110011"": 58, ""00110100"": 62, ""00110101"": 72, ""00110110"": 66, ""00110111"": 62, ""00111000"": 57, ""00111001"": 69, ""00111010"": 68, ""00111011"": 66, ""00111100"": 79, ""00111101"": 77, ""00111110"": 74, ""00111111"": 67, ""01000000"": 70, ""01000001"": 76, ""01000010"": 46, ""01000011"": 54, ""01000100"": 88, ""01000101"": 83, ""01000110"": 57, ""01000111"": 65, ""01001000"": 62, ""01001001"": 70, ""01001010"": 63, ""01001011"": 77, ""01001100"": 75, ""01001101"": 73, ""01001110"": 64, ""01001111"": 60, ""01010000"": 64, ""01010001"": 61, ""01010010"": 74, ""01010011"": 53, ""01010100"": 57, ""01010101"": 65, ""01010110"": 59, ""01010111"": 79, ""01011000"": 65, ""01011001"": 63, ""01011010"": 54, ""01011011"": 68, ""01011100"": 72, ""01011101"": 64, ""01011110"": 59, ""01011111"": 53, ""01100000"": 64, ""01100001"": 82, ""01100010"": 55, ""01100011"": 78, ""01100100"": 71, ""01100101"": 75, ""01100110"": 58, ""01100111"": 76, ""01101000"": 66, ""01101001"": 81, ""01101010"": 66, ""01101011"": 62, ""01101100"": 58, ""01101101"": 57, ""01101110"": 67, ""01101111"": 68, ""01110000"": 65, ""01110001"": 65, ""01110010"": 62, ""01110011"": 73, ""01110100"": 63, ""01110101"": 56, ""01110110"": 80, ""01110111"": 65, ""01111000"": 56, ""01111001"": 63, ""01111010"": 64, ""01111011"": 69, ""01111100"": 62, ""01111101"": 62, ""01111110"": 62, ""01111111"": 58, ""10000000"": 47, ""10000001"": 62, ""10000010"": 60, ""10000011"": 75, ""10000100"": 52, ""10000101"": 68, ""10000110"": 69, ""10000111"": 61, ""10001000"": 74, ""10001001"": 67, ""10001010"": 73, ""10001011"": 64, ""10001100"": 54, ""10001101"": 77, ""10001110"": 57, ""10001111"": 54, ""10010000"": 58, ""10010001"": 73, ""10010010"": 68, ""10010011"": 54, ""10010100"": 68, ""10010101"": 71, ""10010110"": 51, ""10010111"": 69, ""10011000"": 55, ""10011001"": 66, ""10011010"": 59, ""10011011"": 71, ""10011100"": 58, ""10011101"": 62, ""10011110"": 68, ""10011111"": 57, ""10100000"": 62, ""10100001"": 63, ""10100010"": 75, ""10100011"": 58, ""10100100"": 75, ""10100101"": 53, ""10100110"": 70, ""10100111"": 54, ""10101000"": 67, ""10101001"": 69, ""10101010"": 54, ""10101011"": 68, ""10101100"": 59, ""10101101"": 64, ""10101110"": 51, ""10101111"": 70, ""10110000"": 55, ""10110001"": 74, ""10110010"": 75, ""10110011"": 60, ""10110100"": 73, ""10110101"": 72, ""10110110"": 62, ""10110111"": 102, ""10111000"": 71, ""10111001"": 59, ""10111010"": 58, ""10111011"": 51, ""10111100"": 59, ""10111101"": 66, ""10111110"": 70, ""10111111"": 63, ""11000000"": 72, ""11000001"": 72, ""11000010"": 55, ""11000011"": 54, ""11000100"": 69, ""11000101"": 62, ""11000110"": 53, ""11000111"": 55, ""11001000"": 58, ""11001001"": 68, ""11001010"": 62, ""11001011"": 64, ""11001100"": 65, ""11001101"": 68, ""11001110"": 53, ""11001111"": 63, ""11010000"": 66, ""11010001"": 56, ""11010010"": 72, ""11010011"": 65, ""11010100"": 71, ""11010101"": 55, ""11010110"": 61, ""11010111"": 61, ""11011000"": 55, ""11011001"": 56, ""11011010"": 70, ""11011011"": 71, ""11011100"": 53, ""11011101"": 79, ""11011110"": 59, ""11011111"": 67, ""11100000"": 63, ""11100001"": 48, ""11100010"": 63, ""11100011"": 60, ""11100100"": 58, ""11100101"": 65, ""11100110"": 70, ""11100111"": 58, ""11101000"": 61, ""11101001"": 63, ""11101010"": 73, ""11101011"": 60, ""11101100"": 65, ""11101101"": 57, ""11101110"": 66, ""11101111"": 65, ""11110000"": 54, ""11110001"": 61, ""11110010"": 46, ""11110011"": 62, ""11110100"": 67, ""11110101"": 58, ""11110110"": 50, ""11110111"": 72, ""11111000"": 56, ""11111001"": 59, ""11111010"": 50, ""11111011"": 63, ""11111100"": 64, ""11111101"": 62, ""11111110"": 54, ""11111111"": 65}"
qiskit-aer,explicit_independent_swap_test,0.25,1,16384,20260904,3,1,4,10295,0.62835693359375,0.625,"{""0"": 10295, ""1"": 6089}"
qiskit-aer,explicit_independent_swap_test,0.25,2,16384,20260905,6,2,4,6457,0.39410400390625,0.390625,"{""00"": 6457, ""01"": 3825, ""10"": 3839, ""11"": 2263}"
qiskit-aer,explicit_independent_swap_test,0.25,4,16384,20260907,12,4,4,2470,0.1507568359375,0.152587890625,"{""0000"": 2470, ""0001"": 1533, ""0010"": 1599, ""0011"": 898, ""0100"": 1457, ""0101"": 920, ""0110"": 900, ""0111"": 532, ""1000"": 1456, ""1001"": 918, ""1010"": 859, ""1011"": 557, ""1100"": 968, ""1101"": 497, ""1110"": 514, ""1111"": 306}"
qiskit-aer,explicit_independent_swap_test,0.25,8,16384,20260911,24,8,4,409,0.02496337890625,0.023283064365386963,"{""00000000"": 409, ""00000001"": 227, ""00000010"": 234, ""00000011"": 142, ""00000100"": 229, ""00000101"": 133, ""00000110"": 144, ""00000111"": 86, ""00001000"": 252, ""00001001"": 129, ""00001010"": 152, ""00001011"": 69, ""00001100"": 134, ""00001101"": 79, ""00001110"": 92, ""00001111"": 54, ""00010000"": 213, ""00010001"": 138, ""00010010"": 131, ""00010011"": 73, ""00010100"": 141, ""00010101"": 82, ""00010110"": 85, ""00010111"": 54, ""00011000"": 122, ""00011001"": 92, ""00011010"": 103, ""00011011"": 47, ""00011100"": 85, ""00011101"": 52, ""00011110"": 40, ""00011111"": 32, ""00100000"": 229, ""00100001"": 125, ""00100010"": 127, ""00100011"": 78, ""00100100"": 132, ""00100101"": 83, ""00100110"": 86, ""00100111"": 40, ""00101000"": 160, ""00101001"": 81, ""00101010"": 96, ""00101011"": 50, ""00101100"": 97, ""00101101"": 51, ""00101110"": 45, ""00101111"": 24, ""00110000"": 171, ""00110001"": 77, ""00110010"": 95, ""00110011"": 40, ""00110100"": 83, ""00110101"": 46, ""00110110"": 42, ""00110111"": 44, ""00111000"": 89, ""00111001"": 54, ""00111010"": 52, ""00111011"": 26, ""00111100"": 37, ""00111101"": 36, ""00111110"": 27, ""00111111"": 18, ""01000000"": 228, ""01000001"": 150, ""01000010"": 126, ""01000011"": 78, ""01000100"": 145, ""01000101"": 96, ""01000110"": 96, ""01000111"": 36, ""01001000"": 131, ""01001001"": 79, ""01001010"": 76, ""01001011"": 58, ""01001100"": 75, ""01001101"": 50, ""01001110"": 60, ""01001111"": 35, ""01010000"": 132, ""01010001"": 66, ""01010010"": 86, ""01010011"": 42, ""01010100"": 76, ""01010101"": 46, ""01010110"": 63, ""01010111"": 21, ""01011000"": 96, ""01011001"": 58, ""01011010"": 48, ""01011011"": 27, ""01011100"": 55, ""01011101"": 25, ""01011110"": 25, ""01011111"": 20, ""01100000"": 136, ""01100001"": 80, ""01100010"": 95, ""01100011"": 45, ""01100100"": 73, ""01100101"": 43, ""01100110"": 44, ""01100111"": 32, ""01101000"": 76, ""01101001"": 45, ""01101010"": 42, ""01101011"": 40, ""01101100"": 52, ""01101101"": 30, ""01101110"": 37, ""01101111"": 21, ""01110000"": 74, ""01110001"": 50, ""01110010"": 49, ""01110011"": 33, ""01110100"": 61, ""01110101"": 25, ""01110110"": 42, ""01110111"": 20, ""01111000"": 45, ""01111001"": 23, ""01111010"": 26, ""01111011"": 27, ""01111100"": 34, ""01111101"": 13, ""01111110"": 17, ""01111111"": 12, ""10000000"": 228, ""10000001"": 135, ""10000010"": 140, ""10000011"": 103, ""10000100"": 135, ""10000101"": 68, ""10000110"": 79, ""10000111"": 47, ""10001000"": 120, ""10001001"": 74, ""10001010"": 96, ""10001011"": 52, ""10001100"": 79, ""10001101"": 46, ""10001110"": 51, ""10001111"": 25, ""10010000"": 146, ""10010001"": 78, ""10010010"": 88, ""10010011"": 41, ""10010100"": 84, ""10010101"": 46, ""10010110"": 54, ""10010111"": 26, ""10011000"": 71, ""10011001"": 60, ""10011010"": 49, ""10011011"": 26, ""10011100"": 56, ""10011101"": 28, ""10011110"": 16, ""10011111"": 19, ""10100000"": 117, ""10100001"": 99, ""10100010"": 78, ""10100011"": 44, ""10100100"": 81, ""10100101"": 37, ""10100110"": 41, ""10100111"": 30, ""10101000"": 78, ""10101001"": 51, ""10101010"": 51, ""10101011"": 20, ""10101100"": 50, ""10101101"": 36, ""10101110"": 21, ""10101111"": 16, ""10110000"": 75, ""10110001"": 41, ""10110010"": 38, ""10110011"": 22, ""10110100"": 34, ""10110101"": 27, ""10110110"": 30, ""10110111"": 11, ""10111000"": 53, ""10111001"": 34, ""10111010"": 19, ""10111011"": 15, ""10111100"": 31, ""10111101"": 18, ""10111110"": 12, ""10111111"": 8, ""11000000"": 143, ""11000001"": 75, ""11000010"": 83, ""11000011"": 53, ""11000100"": 91, ""11000101"": 55, ""11000110"": 53, ""11000111"": 32, ""11001000"": 87, ""11001001"": 49, ""11001010"": 51, ""11001011"": 34, ""11001100"": 44, ""11001101"": 33, ""11001110"": 31, ""11001111"": 15, ""11010000"": 84, ""11010001"": 46, ""11010010"": 48, ""11010011"": 27, ""11010100"": 53, ""11010101"": 33, ""11010110"": 27, ""11010111"": 14, ""11011000"": 41, ""11011001"": 31, ""11011010"": 27, ""11011011"": 12, ""11011100"": 43, ""11011101"": 15, ""11011110"": 20, ""11011111"": 14, ""11100000"": 87, ""11100001"": 42, ""11100010"": 43, ""11100011"": 28, ""11100100"": 46, ""11100101"": 31, ""11100110"": 44, ""11100111"": 14, ""11101000"": 50, ""11101001"": 32, ""11101010"": 30, ""11101011"": 22, ""11101100"": 39, ""11101101"": 26, ""11101110"": 24, ""11101111"": 9, ""11110000"": 50, ""11110001"": 30, ""11110010"": 29, ""11110011"": 17, ""11110100"": 36, ""11110101"": 23, ""11110110"": 15, ""11110111"": 11, ""11111000"": 26, ""11111001"": 15, ""11111010"": 13, ""11111011"": 16, ""11111100"": 17, ""11111101"": 9, ""11111110"": 14, ""11111111"": 5}"
qiskit-aer,explicit_independent_swap_test,0.5,1,16384,20260904,3,1,4,12263,0.74847412109375,0.75,"{""0"": 12263, ""1"": 4121}"
qiskit-aer,explicit_independent_swap_test,0.5,2,16384,20260905,6,2,4,9319,0.56878662109375,0.5625,"{""00"": 9319, ""01"": 2993, ""10"": 3067, ""11"": 1005}"
